week,average price
2021-00,76.71533333333333
2021-01,81.38290666666667
2021-02,85.41432
2021-03,83.19074666666667
2021-04,77.50206666666666
2021-05,83.67712
2021-06,88.26426666666667
2021-07,90.23224
2021-08,93.22668213457077
2021-09,103.47677333333334
2021-10,109.168
2021-11,106.22112
2021-12,103.00389333333332
2021-13,104.2200888888889
2021-14,104.49370666666667
2021-15,94.78930000000001
2021-16,94.56336666666665
2021-17,98.04602666666666
2021-18,101.49818666666667
2021-19,106.32653333333333
2021-20,104.47688
2021-21,106.63698666666667
2021-22,106.89672
2021-23,121.71330666666667
2021-24,122.57650666666667
2021-25,121.51834666666666
2021-26,122.28152
2021-27,124.40221333333334
2021-28,124.47621333333333
2021-29,124.11440452428477
2021-30,122.49829333333332
2021-31,133.1922888888889
2021-32,131.508
2021-33,131.4121777777778
